prediction_gender,probability,status/day,status count,favorite count,follow/friend,follower count,gender
f,0.95,6.139312407,20536,4352,1.589511544,13700,female
f,0.95,1.860083873,4879,8104,1.935714286,271,female
m,0.95,49.54118009,161207,50342,3.809137056,3752,male
m,0.75,84.125,158155,0,78,78,female
f,0.75,1.153423288,2308,17526,0.672945205,393,male
m,0.95,13.64535405,45671,5,44.17558887,20630,male
f,0.75,0.011600928,10,17,0,0,female
f,0.95,0.56084172,1839,397,1.977859779,536,female
f,0.95,4.647005988,15521,1106,1.395629672,2427,female
m,0.95,31.27547057,104679,3368,6.11752988,6142,male
f,0.75,1.682187731,4552,2295,0.645454545,355,female
m,0.95,1.825125209,4373,7279,1.690828402,1143,male
m,0.95,0.444948187,1374,608,0.490566038,78,male
f,0.75,0,0,0,0,0,female
f,0.75,7.370271868,24941,4625,1.095609756,1123,male
m,0.75,16.68229167,44842,1583,1.717741935,426,female
m,0.95,0.956766917,1018,0,0.141025641,11,male
f,0.95,5.422459893,2028,10175,0.57826087,133,female
m,0.95,4.661317568,5519,2328,0.511078287,692,male
m,0.95,2.975398475,8587,1111,1.014682748,3870,male
f,0.75,84.58882979,159027,0,0,48,male
m,0.95,5.970513287,16401,3,11.81102362,1500,male
f,0.75,3.32879538,8069,38942,0.205095541,161,female
m,0.95,8.843016069,21462,7176,2.33908046,814,male
m,0.95,31.30659898,30837,60379,1.032623169,1551,female
m,0.75,84.53829787,158932,0,0,61,female
f,0.95,2.516372796,6993,3539,0.210703751,500,female
m,0.95,2.269909394,4760,27897,1.611872146,353,male
f,0.75,11.1904277,21978,36137,1.708571429,897,female
m,0.75,23.74797844,35242,4,1.879518072,156,male
m,0.75,84.38510638,158644,0,0,67,female
m,0.75,0.267835178,871,277,0.41000878,467,male
m,0.95,0.05,162,180,0.38,19,male
f,0.75,9.29079616,16454,2206,2.215189873,350,female
m,0.95,46.2556655,144919,97458,4.521551724,2098,male
m,0.75,4.01119403,12900,7928,1.425925926,308,female
m,0.95,2.99431308,10004,261,0.364749082,298,male
f,0.75,84.59468085,159038,0,0,54,male
m,0.75,3.325026325,9473,146,8.06,403,male
